customer_id,rec,frec,val_mon
CS1772,54.0,8,620
CS1773,87.0,6,386
CS1774,5.0,6,411
CS1775,54.0,4,220
CS1776,59.0,3,203
CS1777,80.0,7,526
CS1778,32.0,8,603
CS1779,15.0,1,97
CS1780,10.0,8,525
CS1781,190.0,6,387
CS1782,77.0,8,565
CS1783,99.0,3,144
CS1784,120.0,2,156
CS1785,19.0,11,649
CS1786,36.0,8,593
CS1787,12.0,7,543
CS1788,155.0,2,121
CS1789,16.0,4,247
CS1790,181.0,4,261
CS1791,1.0,8,599
CS1792,73.0,4,294
CS1793,17.0,5,254
CS1794,1.0,6,412
CS1795,131.0,5,442
CS1796,45.0,3,254
CS1797,51.0,4,198
CS1798,100.0,6,405
CS1799,42.0,3,226
CS1800,3.0,8,502
CS1801,113.0,3,179
CS1802,11.0,11,649
CS1803,128.0,7,544
CS1804,40.0,4,294
CS1805,25.0,6,438
CS1806,46.0,8,589
CS1807,52.0,7,428
CS1808,91.0,4,284
CS1809,29.0,4,287
CS1810,43.0,4,279
CS1811,17.0,6,503
CS1812,6.0,5,362
CS1813,116.0,2,118
CS1814,138.0,6,426
CS1815,40.0,3,155
CS1816,36.0,4,390
CS1817,19.0,4,327
CS1818,20.0,7,535
CS1819,38.0,2,150
CS1820,45.0,3,224
CS1821,228.0,3,181
CS1822,29.0,3,232
CS1823,41.0,3,241
CS1824,9.0,7,567
CS1825,14.0,7,455
CS1826,73.0,4,257
CS1827,13.0,7,471
CS1828,50.0,6,410
CS1829,19.0,4,356
CS1830,99.0,2,168
CS1831,15.0,4,264
CS1832,104.0,6,437
CS1833,68.0,4,240
CS1835,42.0,4,313
CS1836,264.0,4,245
CS1837,43.0,5,423
CS1838,11.0,6,435
CS1839,165.0,6,480
CS1840,41.0,5,263
CS1841,14.0,3,169
CS1842,4.0,8,610
CS1843,3.0,4,303
CS1844,19.0,7,448
CS1845,240.0,2,198
CS1846,87.0,9,574
CS1847,51.0,6,439
CS1848,81.0,5,329
CS1849,10.0,4,273
CS1850,8.0,8,658
CS1851,31.0,4,315
CS1852,103.0,4,311
CS1853,65.0,5,302
CS1854,110.0,3,197
CS1855,108.0,3,147
CS1856,17.0,8,458
CS1857,8.0,4,228
CS1858,68.0,3,195
CS1859,35.0,3,180
CS1860,8.0,6,392
CS1861,9.0,7,488
CS1862,78.0,7,526
CS1863,36.0,7,548
CS1864,20.0,8,696
CS1865,97.0,5,439
CS1866,114.0,5,469
CS1867,67.0,4,260
CS1868,67.0,4,330
CS1869,40.0,3,161
CS1870,44.0,8,500
CS1871,142.0,3,254
CS1872,22.0,8,564
CS1873,56.0,7,502
CS1874,15.0,4,289
CS1875,25.0,6,499
CS1876,27.0,7,504
CS1877,93.0,5,362
CS1878,125.0,6,528
CS1879,53.0,5,363
CS1880,130.0,4,285
CS1881,159.0,4,283
CS1882,57.0,3,256
CS1883,51.0,5,315
CS1884,37.0,3,184
CS1885,3.0,8,570
CS1886,107.0,3,215
CS1887,64.0,3,263
CS1888,40.0,5,407
CS1889,18.0,1,99
CS1890,14.0,5,365
CS1891,310.0,2,131
CS1892,46.0,7,511
CS1893,83.0,4,304
CS1894,14.0,4,217
CS1895,131.0,4,320
CS1896,172.0,5,372
CS1897,74.0,6,449
CS1898,79.0,6,474
CS1899,25.0,2,152
CS1900,118.0,8,621
CS1901,167.0,6,472
CS1902,32.0,3,198
CS1903,7.0,7,406
CS1904,123.0,4,288
CS1905,15.0,6,378
CS1906,33.0,9,583
CS1907,62.0,2,108
CS1908,106.0,5,329
CS1909,14.0,4,255
CS1910,75.0,5,360
CS1911,12.0,5,340
CS1912,3.0,7,490
CS1913,32.0,3,170
CS1914,26.0,4,321
CS1915,183.0,3,290
CS1916,9.0,2,130
CS1917,114.0,4,245
CS1918,151.0,3,213
CS1919,364.0,1,52
CS1920,50.0,7,517
CS1921,52.0,3,211
CS1922,52.0,5,394
CS1923,78.0,5,273
CS1924,31.0,5,378
CS1925,5.0,8,609
CS1926,118.0,6,401
CS1927,112.0,4,215
CS1928,8.0,2,99
CS1929,45.0,6,465
CS1930,97.0,6,465
CS1931,129.0,4,253
CS1932,144.0,4,293
CS1933,46.0,6,380
CS1934,45.0,5,341
CS1935,45.0,4,290
CS1936,83.0,4,301
CS1937,108.0,3,162
CS1938,24.0,6,456
CS1939,178.0,3,206
CS1940,253.0,2,128
CS1941,15.0,3,167
CS1942,90.0,6,476
CS1943,7.0,3,199
CS1944,18.0,6,372
CS1945,51.0,7,436
CS1946,11.0,7,548
CS1947,89.0,5,378
CS1948,55.0,2,182
CS1949,55.0,12,823
CS1950,2.0,10,888
CS1951,115.0,4,306
CS1952,97.0,8,641
CS1953,10.0,5,398
CS1954,6.0,6,517
CS1955,33.0,8,547
CS1956,202.0,4,305
CS1957,69.0,7,516
CS1958,108.0,5,371
CS1959,122.0,3,194
CS1960,11.0,5,363
CS1961,26.0,6,439
CS1962,247.0,3,269
CS1963,8.0,6,423
CS1964,16.0,7,534
CS1965,133.0,6,453
CS1966,22.0,7,647
CS1967,40.0,5,300
CS1968,13.0,7,495
CS1969,41.0,8,493
CS1970,5.0,7,476
CS1971,40.0,1,88
CS1972,27.0,6,434
CS1973,129.0,2,104
CS1974,179.0,4,230
CS1975,86.0,2,108
CS1976,2.0,3,221
CS1977,19.0,4,299
CS1978,76.0,6,398
CS1979,125.0,2,173
CS1980,18.0,9,693
CS1981,8.0,7,572
CS1982,25.0,8,616
CS1983,237.0,3,227
CS1984,308.0,1,60
CS1985,56.0,9,622
CS1986,30.0,5,371
CS1987,35.0,8,567
CS1988,7.0,4,269
CS1989,10.0,10,726
CS1990,54.0,7,518
CS1991,2.0,7,598
CS1992,32.0,3,231
CS1993,176.0,3,229
CS1994,128.0,2,146
CS1995,168.0,6,382
CS1996,59.0,7,500
CS1997,136.0,6,407
CS1998,22.0,5,341
CS1999,8.0,3,249
CS2000,69.0,5,266
CS2001,126.0,5,295
CS2002,53.0,5,362
CS2003,72.0,4,307
CS2004,44.0,5,357
CS2005,30.0,5,369
CS2006,70.0,5,427
CS2007,54.0,4,281
CS2008,12.0,8,558
CS2009,6.0,4,345
CS2010,110.0,2,108
CS2012,110.0,1,73
CS2013,56.0,8,473
CS2014,14.0,2,196
CS2015,92.0,3,220
CS2016,96.0,8,546
CS2017,170.0,3,249
CS2018,34.0,8,529
CS2019,14.0,3,193
CS2020,131.0,4,236
CS2021,255.0,2,134
CS2022,30.0,7,486
CS2023,55.0,4,316
CS2024,173.0,4,285
CS2025,82.0,2,164
CS2026,3.0,8,488
CS2027,4.0,8,534
CS2028,83.0,2,183
CS2029,138.0,4,252
CS2030,25.0,6,415
CS2031,38.0,7,592
CS2032,144.0,3,242
CS2033,198.0,1,94
CS2034,201.0,3,189
CS2035,19.0,9,730
CS2036,44.0,9,676
CS2037,241.0,1,56
CS2038,50.0,9,636
CS2039,39.0,5,297
CS2040,2.0,7,445
CS2041,217.0,2,136
CS2042,55.0,4,241
CS2043,70.0,5,359
CS2044,44.0,6,331
CS2045,67.0,5,372
CS2046,8.0,7,511
CS2047,30.0,7,491
CS2048,21.0,7,466
CS2049,125.0,6,391
CS2050,13.0,6,363
CS2051,98.0,5,393
CS2052,18.0,4,255
CS2053,13.0,8,656
CS2054,46.0,6,359
CS2055,42.0,12,797
CS2056,54.0,4,291
CS2057,22.0,6,433
CS2058,12.0,7,484
CS2059,114.0,3,229
CS2060,116.0,5,290
CS2061,4.0,8,582
CS2062,140.0,3,162
CS2063,120.0,5,463
CS2064,132.0,4,279
CS2065,10.0,7,437
CS2066,145.0,2,150
CS2067,173.0,1,71
CS2068,53.0,5,324
CS2069,105.0,6,297
CS2070,28.0,4,235
CS2071,24.0,5,373
CS2072,8.0,6,435
CS2073,36.0,3,235
CS2074,2.0,6,430
CS2075,65.0,6,390
CS2076,70.0,2,139
CS2077,9.0,3,197
CS2078,73.0,7,491
CS2079,105.0,4,293
CS2080,68.0,4,221
CS2081,18.0,9,547
CS2082,113.0,3,188
CS2083,23.0,7,553
CS2084,21.0,5,398
CS2085,174.0,5,365
CS2086,11.0,7,524
CS2087,22.0,5,425
CS2089,36.0,7,475
CS2090,159.0,4,235
CS2091,101.0,6,440
CS2092,48.0,4,269
CS2093,48.0,5,325
CS2094,61.0,4,333
CS2095,14.0,6,430
CS2096,16.0,6,422
CS2097,9.0,4,292
CS2098,71.0,8,650
CS2099,89.0,2,142
CS2100,127.0,6,413
CS2101,63.0,7,457
CS2102,248.0,4,290
CS2103,36.0,5,359
CS2104,40.0,9,664
CS2105,296.0,2,159
CS2106,27.0,8,621
CS2107,1.0,3,256
CS2108,43.0,2,102
CS2109,36.0,8,489
CS2110,124.0,2,141
CS2111,19.0,6,493
CS2112,3.0,3,264
CS2113,7.0,8,557
CS2114,38.0,5,276
CS2115,40.0,5,447
CS2116,33.0,5,307
CS2117,26.0,10,685
CS2118,226.0,6,358
CS2119,67.0,8,634
CS2120,157.0,5,332
CS2121,32.0,3,226
CS2122,22.0,8,588
CS2123,103.0,3,232
CS2124,321.0,4,261
CS2125,129.0,6,381
CS2126,32.0,4,308
CS2127,12.0,8,590
CS2128,40.0,7,390
CS2129,17.0,6,431
CS2130,50.0,7,487
CS2131,186.0,1,91
CS2132,100.0,6,409
CS2133,75.0,3,195
CS2134,69.0,3,188
CS2135,17.0,6,443
CS2136,60.0,2,112
CS2137,4.0,7,413
CS2138,50.0,8,610
CS2139,43.0,8,674
CS2140,74.0,6,442
CS2141,1.0,11,716
CS2142,33.0,5,392
CS2143,31.0,4,328
CS2144,222.0,3,176
CS2145,11.0,8,499
CS2146,77.0,5,301
CS2147,21.0,5,305
CS2148,75.0,4,339
CS2149,17.0,7,531
CS2150,201.0,3,204
CS2151,26.0,6,426
CS2152,48.0,3,183
CS2153,13.0,7,570
CS2154,190.0,3,176
CS2155,73.0,4,245
CS2156,7.0,4,327
CS2157,9.0,6,508
CS2158,189.0,6,420
CS2159,27.0,7,452
CS2160,67.0,3,134
CS2161,28.0,6,414
CS2162,61.0,6,480
CS2163,194.0,2,116
CS2164,266.0,1,48
CS2165,127.0,3,147
CS2166,174.0,4,256
CS2167,57.0,9,621
CS2168,47.0,3,223
CS2169,49.0,3,258
CS2170,69.0,4,323
CS2171,82.0,6,338
CS2172,30.0,6,409
CS2173,208.0,4,213
CS2174,43.0,7,547
CS2175,101.0,6,363
CS2176,79.0,7,472
CS2177,1.0,5,358
CS2178,6.0,6,384
CS2179,82.0,6,285
CS2180,24.0,7,456
CS2181,86.0,4,316
CS2182,73.0,6,491
CS2183,60.0,1,47
CS2184,15.0,6,383
CS2185,159.0,5,384
CS2186,5.0,5,302
CS2187,56.0,5,421
CS2188,2.0,4,288
CS2189,64.0,5,295
CS2190,120.0,6,418
